Time_Iter,Outer_Iter,Inner_Iter,rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],rms[nu],
,0,0,247,-2.380898354,-0.7460620171,-0.8863116718,3.712221953,-9.27071994
,0,0,248,-2.381345879,-0.7409974865,-0.8826815438,3.711625338,-9.265581368
,0,0,249,-2.382225364,-0.7361369238,-0.8792476288,3.710777198,-9.260620435
,0,0,250,-2.383785089,-0.73100531,-0.8760046467,3.709259766,-9.25583628
,0,0,251,-2.384326163,-0.726085379,-0.8721319694,3.708715403,-9.251156328
,0,0,252,-2.383837391,-0.7213806663,-0.8679670223,3.708923678,-9.24665721
,0,0,253,-2.385274403,-0.7166235391,-0.8644230179,3.707567745,-9.242329895
,0,0,254,-2.385921959,-0.7118174427,-0.8604298874,3.706875923,-9.238177503
,0,0,255,-2.38683878,-0.7070339863,-0.8565602068,3.705926273,-9.234187679
,0,0,256,-2.388014861,-0.7015624345,-0.8525117224,3.704908835,-9.23037943
,0,0,257,-2.388767276,-0.6969935794,-0.8485242619,3.704065874,-9.226743938
,0,0,258,-2.389934572,-0.6925053832,-0.8446837233,3.702814289,-9.223292653
,0,0,259,-2.390648078,-0.6879616538,-0.8404125469,3.702085984,-9.219999433
,0,0,260,-2.390809522,-0.6839461148,-0.8360714805,3.701720267,-9.216863377
,0,0,261,-2.392093902,-0.6804696864,-0.8319709799,3.700468926,-9.213934906
,0,0,262,-2.392982345,-0.6769779298,-0.827651796,3.699536509,-9.211134815
,0,0,263,-2.394015702,-0.6732994993,-0.8233062892,3.698464117,-9.208508305
,0,0,264,-2.395134044,-0.6691182052,-0.8189077519,3.697397203,-9.20599574
,0,0,265,-2.396079412,-0.6652349454,-0.8144418483,3.696386365,-9.203638358
,0,0,266,-2.397062514,-0.6614272456,-0.8098348293,3.695370447,-9.201377555
,0,0,267,-2.398089792,-0.6577635202,-0.8052034645,3.694308719,-9.199257749
,0,0,268,-2.399107889,-0.6540950274,-0.8005772214,3.693250396,-9.197196932
,0,0,269,-2.400156488,-0.6504858042,-0.7959467841,3.692165451,-9.195271163
,0,0,270,-2.401095551,-0.6470286437,-0.7912546609,3.691119705,-9.193386189
,0,0,271,-2.402185866,-0.6435744569,-0.7866111161,3.690001674,-9.191625713
,0,0,272,-2.403281444,-0.6402063809,-0.7819456828,3.688857351,-9.18984307
,0,0,273,-2.404375125,-0.6370430179,-0.7773115777,3.687712693,-9.188183666
,0,0,274,-2.405489462,-0.6339006212,-0.7726381436,3.686549856,-9.186495166
,0,0,275,-2.406608926,-0.6308491436,-0.7680127637,3.685365498,-9.184930158
,0,0,276,-2.407769538,-0.627866829,-0.7634382561,3.6841521,-9.183269548
,0,0,277,-2.408931086,-0.6249853544,-0.7588964231,3.682925329,-9.181747075
,0,0,278,-2.41009715,-0.6221409711,-0.7542969278,3.681699852,-9.180106212
,0,0,279,-2.411269263,-0.6194217814,-0.7497894089,3.680473071,-9.178626386
,0,0,280,-2.412412544,-0.6168717673,-0.7452895366,3.679271742,-9.17691073
,0,0,281,-2.413609411,-0.6144452668,-0.7409039392,3.678023533,-9.175477843
,0,0,282,-2.414801682,-0.6121672457,-0.7365151628,3.676769337,-9.174072285
,0,0,283,-2.41601422,-0.6099898147,-0.7322136572,3.675504382,-9.173003152
,0,0,284,-2.417218151,-0.6080296985,-0.7279106663,3.674240419,-9.171639795
,0,0,285,-2.418462428,-0.6061210058,-0.7237217967,3.672945979,-9.170441694
,0,0,286,-2.419704981,-0.6043696915,-0.7195450258,3.671641318,-9.168895588
,0,0,287,-2.420970626,-0.6025762643,-0.715479261,3.670324051,-9.16757261
,0,0,288,-2.422242566,-0.6009648571,-0.7114085416,3.669013533,-9.165764251
,0,0,289,-2.423521248,-0.5993738439,-0.7074477531,3.667688907,-9.164207153
,0,0,290,-2.425347932,-0.5979607004,-0.7036105687,3.665840054,-9.162251654
,0,0,291,-2.42640936,-0.5965138274,-0.6997094933,3.664727244,-9.160472897
,0,0,292,-2.427134456,-0.5951846573,-0.6957615438,3.66387088,-9.157966468
,0,0,293,-2.428695899,-0.593976384,-0.6921042609,3.662301298,-9.155838295
,0,0,294,-2.430064524,-0.5928471069,-0.6883600523,3.660950369,-9.15289842
,0,0,295,-2.43144278,-0.5917832214,-0.6847717716,3.659523168,-9.150444994
,0,0,296,-2.433815607,-0.5907922174,-0.6813514052,3.657102235,-9.147692424
,0,0,297,-2.435196407,-0.5896709112,-0.677835576,3.655773826,-9.144056226
,0,0,298,-2.436384355,-0.5891660612,-0.6742436093,3.654619835,-9.140743516
,0,0,299,-2.436055189,-0.5887518234,-0.6706932954,3.654509753,-9.136183098
,0,0,300,-2.438317849,-0.5880263796,-0.6673899715,3.652418028,-9.132196495
,0,0,301,-2.440438015,-0.5875560471,-0.6642359218,3.650358531,-9.127281477
,0,0,302,-2.441767374,-0.5870105831,-0.660950456,3.648993192,-9.122426101
,0,0,303,-2.442223535,-0.5865344816,-0.6576523051,3.648366416,-9.116173287
,0,0,304,-2.444181904,-0.5859254332,-0.654609532,3.646433093,-9.110429618
,0,0,305,-2.446595471,-0.585289111,-0.6515737953,3.64405737,-9.104336224
,0,0,306,-2.446263501,-0.5848281465,-0.6483442963,3.644228952,-9.096395673
,0,0,307,-2.448598388,-0.5842817258,-0.6455363796,3.641927418,-9.089087313
